"","pass","year"
"1",112,49.0833333333333
"2",118,49.1666666666667
"3",132,49.25
"4",129,49.3333333333333
"5",121,49.4166666666667
"6",135,49.5
"7",148,49.5833333333333
"8",148,49.6666666666667
"9",136,49.75
"10",119,49.8333333333333
"11",104,49.9166666666667
"12",118,50
"13",115,50.0833333333333
"14",126,50.1666666666667
"15",141,50.25
"16",135,50.3333333333333
"17",125,50.4166666666667
"18",149,50.5
"19",170,50.5833333333333
"20",170,50.6666666666667
"21",158,50.75
"22",133,50.8333333333333
"23",114,50.9166666666667
"24",140,51
"25",145,51.0833333333333
"26",150,51.1666666666667
"27",178,51.25
"28",163,51.3333333333333
"29",172,51.4166666666667
"30",178,51.5
"31",199,51.5833333333333
"32",199,51.6666666666667
"33",184,51.75
"34",162,51.8333333333333
"35",146,51.9166666666667
"36",166,52
"37",171,52.0833333333333
"38",180,52.1666666666667
"39",193,52.25
"40",181,52.3333333333333
"41",183,52.4166666666667
"42",218,52.5
"43",230,52.5833333333333
"44",242,52.6666666666667
"45",209,52.75
"46",191,52.8333333333333
"47",172,52.9166666666667
"48",194,53
"49",196,53.0833333333333
"50",196,53.1666666666667
"51",236,53.25
"52",235,53.3333333333333
"53",229,53.4166666666667
"54",243,53.5
"55",264,53.5833333333333
"56",272,53.6666666666667
"57",237,53.75
"58",211,53.8333333333333
"59",180,53.9166666666667
"60",201,54
"61",204,54.0833333333333
"62",188,54.1666666666667
"63",235,54.25
"64",227,54.3333333333333
"65",234,54.4166666666667
"66",264,54.5
"67",302,54.5833333333333
"68",293,54.6666666666667
"69",259,54.75
"70",229,54.8333333333333
"71",203,54.9166666666667
"72",229,55
"73",242,55.0833333333333
"74",233,55.1666666666667
"75",267,55.25
"76",269,55.3333333333333
"77",270,55.4166666666667
"78",315,55.5
"79",364,55.5833333333333
"80",347,55.6666666666667
"81",312,55.75
"82",274,55.8333333333333
"83",237,55.9166666666667
"84",278,56
"85",284,56.0833333333333
"86",277,56.1666666666667
"87",317,56.25
"88",313,56.3333333333333
"89",318,56.4166666666667
"90",374,56.5
"91",413,56.5833333333333
"92",405,56.6666666666667
"93",355,56.75
"94",306,56.8333333333333
"95",271,56.9166666666667
"96",306,57
"97",315,57.0833333333333
"98",301,57.1666666666667
"99",356,57.25
"100",348,57.3333333333333
"101",355,57.4166666666667
"102",422,57.5
"103",465,57.5833333333333
"104",467,57.6666666666667
"105",404,57.75
"106",347,57.8333333333333
"107",305,57.9166666666667
"108",336,58
"109",340,58.0833333333333
"110",318,58.1666666666667
"111",362,58.25
"112",348,58.3333333333333
"113",363,58.4166666666667
"114",435,58.5
"115",491,58.5833333333333
"116",505,58.6666666666667
"117",404,58.75
"118",359,58.8333333333333
"119",310,58.9166666666667
"120",337,59
"121",360,59.0833333333333
"122",342,59.1666666666667
"123",406,59.25
"124",396,59.3333333333333
"125",420,59.4166666666667
"126",472,59.5
"127",548,59.5833333333333
"128",559,59.6666666666667
"129",463,59.75
"130",407,59.8333333333333
"131",362,59.9166666666667
"132",405,60
"133",417,60.0833333333333
"134",391,60.1666666666667
"135",419,60.25
"136",461,60.3333333333333
"137",472,60.4166666666667
"138",535,60.5
"139",622,60.5833333333333
"140",606,60.6666666666667
"141",508,60.75
"142",461,60.8333333333333
"143",390,60.9166666666667
"144",432,61
