"","wealth","age","region"
"1",37,50,"M"
"2",24,88,"U"
"3",14,64,"A"
"4",13,63,"U"
"5",13,66,"U"
"6",11.7,72,"E"
"7",10,71,"M"
"8",8.2,77,"U"
"9",8.1,68,"U"
"10",7.2,66,"E"
"11",7,69,"M"
"12",6.2,36,"O"
"13",5.9,49,"U"
"14",5.3,73,"U"
"15",5.2,52,"E"
"16",5,77,"M"
"17",5,73,"M"
"18",4.9,62,"A"
"19",4.8,54,"U"
"20",4.7,63,"U"
"21",4.7,23,"U"
"22",4.6,70,"O"
"23",4.6,59,"E"
"24",4.5,96,"E"
"25",4.5,84,"O"
"26",4.5,40,"E"
"27",4.3,60,"U"
"28",4,77,"E"
"29",4,68,"E"
"30",4,83,"E"
"31",4,68,"A"
"32",4,40,"E"
"33",4,62,"M"
"34",4,69,"E"
"35",4,49,"A"
"36",3.9,64,"A"
"37",3.9,83,"A"
"38",3.8,41,"A"
"39",3.8,78,"A"
"40",3.6,80,"A"
"41",3.5,68,"O"
"42",3.4,67,"U"
"43",3.4,71,"O"
"44",3.4,54,"A"
"45",3.3,62,"E"
"46",3.3,69,"A"
"47",3.3,58,"U"
"48",3.2,71,"U"
"49",3.2,55,"O"
"50",3,66,"E"
"51",3,65,"E"
"52",3,50,"U"
"53",3,64,"E"
"54",3,57,"A"
"55",3,86,"M"
"56",3,71,"E"
"57",3,68,"E"
"58",3,68,"E"
"59",3,54,"U"
"60",2.8,68,"A"
"61",2.8,76,"E"
"62",2.8,52,"E"
"63",2.8,73,"O"
"64",2.8,46,"O"
"65",2.7,69,"U"
"66",2.7,63,"E"
"67",2.6,42,"E"
"68",2.6,67,"E"
"69",2.6,62,"O"
"70",2.6,66,"U"
"71",2.6,75,"U"
"72",2.5,74,"E"
"73",2.5,73,"E"
"74",2.5,84,"M"
"75",2.5,49,"A"
"76",2.4,60,"U"
"77",2.4,71,"O"
"78",2.4,76,"A"
"79",2.4,67,"E"
"80",2.3,54,"A"
"81",2.3,57,"U"
"82",2.3,54,"O"
"83",2.3,64,"O"
"84",2.2,85,"E"
"85",2.2,45,"A"
"86",2.2,39,"O"
"87",2.2,54,"E"
"88",2.1,68,"U"
"89",2.1,85,"U"
"90",2,70,"M"
"91",2,102,"M"
"92",2,38,"U"
"93",2,73,"A"
"94",2,91,"E"
"95",2,82,"U"
"96",2,74,"M"
"97",2,81,"M"
"98",2,62,"E"
"99",2,62,"U"
"100",2,67,"U"
"101",2,80,"O"
"102",2,68,"M"
"103",2,80,"U"
"104",2,NA,"U"
"105",2,60,"E"
"106",2,74,"O"
"107",1.9,48,"U"
"108",1.9,60,"E"
"109",1.9,43,"E"
"110",1.9,64,"O"
"111",1.9,67,"U"
"112",1.8,62,"A"
"113",1.8,90,"E"
"114",1.8,66,"U"
"115",1.8,68,"A"
"116",1.8,60,"A"
"117",1.8,53,"A"
"118",1.8,47,"E"
"119",1.8,86,"U"
"120",1.8,67,"A"
"121",1.7,54,"U"
"122",1.7,77,"E"
"123",1.7,61,"U"
"124",1.7,83,"E"
"125",1.7,61,"U"
"126",1.7,58,"U"
"127",1.7,64,"U"
"128",1.7,53,"A"
"129",1.7,67,"A"
"130",1.6,57,"E"
"131",1.6,62,"A"
"132",1.6,NA,"E"
"133",1.6,64,"O"
"134",1.6,69,"A"
"135",1.6,71,"E"
"136",1.6,54,"U"
"137",1.6,78,"A"
"138",1.5,45,"U"
"139",1.5,69,"U"
"140",1.5,59,"U"
"141",1.5,NA,"A"
"142",1.5,82,"O"
"143",1.5,68,"E"
"144",1.5,41,"E"
"145",1.5,60,"E"
"146",1.5,64,"E"
"147",1.5,44,"E"
"148",1.5,7,"E"
"149",1.5,72,"E"
"150",1.5,56,"E"
"151",1.5,60,"E"
"152",1.4,61,"E"
"153",1.4,79,"O"
"154",1.4,42,"O"
"155",1.4,63,"E"
"156",1.4,49,"E"
"157",1.4,56,"E"
"158",1.4,67,"U"
"159",1.4,75,"E"
"160",1.4,43,"M"
"161",1.4,61,"U"
"162",1.4,54,"O"
"163",1.4,47,"E"
"164",1.4,64,"U"
"165",1.4,52,"A"
"166",1.4,73,"A"
"167",1.3,83,"U"
"168",1.3,64,"E"
"169",1.3,71,"O"
"170",1.3,71,"E"
"171",1.3,61,"M"
"172",1.3,83,"E"
"173",1.3,43,"E"
"174",1.3,47,"U"
"175",1.3,79,"E"
"176",1.3,53,"E"
"177",1.3,73,"U"
"178",1.3,72,"U"
"179",1.3,72,"U"
"180",1.3,59,"A"
"181",1.3,77,"E"
"182",1.3,68,"E"
"183",1.3,42,"E"
"184",1.3,61,"U"
"185",1.2,69,"A"
"186",1.2,82,"O"
"187",1.2,NA,"E"
"188",1.2,56,"U"
"189",1.2,42,"M"
"190",1.2,63,"U"
"191",1.2,75,"U"
"192",1.2,NA,"E"
"193",1.2,59,"A"
"194",1.2,70,"E"
"195",1.2,46,"M"
"196",1.2,68,"U"
"197",1.2,68,"A"
"198",1.2,69,"A"
"199",1.2,68,"O"
"200",1.2,64,"A"
"201",1.1,53,"E"
"202",1.1,79,"E"
"203",1.1,49,"E"
"204",1.1,47,"U"
"205",1.1,75,"U"
"206",1.1,76,"M"
"207",1.1,66,"U"
"208",1.1,85,"U"
"209",1.1,66,"O"
"210",1.1,70,"U"
"211",1.1,58,"E"
"212",1.1,72,"E"
"213",1.1,52,"M"
"214",1,52,"O"
"215",1,79,"E"
"216",1,69,"A"
"217",1,52,"M"
"218",1,75,"E"
"219",1,62,"E"
"220",1,65,"M"
"221",1,63,"U"
"222",1,87,"E"
"223",1,61,"U"
"224",1,58,"O"
"225",1,60,"E"
"226",1,67,"O"
"227",1,80,"E"
"228",1,63,"U"
"229",1,9,"M"
"230",1,59,"E"
"231",1,NA,"E"
"232",1,NA,"O"
