"","time","flux","error"
"1",133,122.7,5.7
"2",143,109.5,5.4
"3",153,101.4,5.2
"4",163,92,4.9
"5",173,86.8,4.8
"6",183,83.7,4.7
"7",193,77.2,4.5
"8",203,69.4,4.3
"9",213,69.2,4.3
"10",223,62.4,4.1
"11",233,65,4.1
"12",243,57.2,3.9
"13",253,54.6,3.8
"14",263,54.3,3.8
"15",278,50.8,2.6
"16",298,49.8,2.6
"17",318,45.4,2.5
"18",338,45.5,2.5
"19",358,46.9,2.5
"20",378,40.2,2.3
"21",398,41.7,2.4
"22",418,39.4,2.3
"23",438,39.9,2.3
"24",458,34.8,2.2
"25",478,31.9,2.1
"26",498,31.5,2.1
"27",518,32.5,2.1
"28",538,27.4,1.9
"29",558,32.4,2.1
"30",578,29.8,2
"31",598,28.5,2
"32",618,29.1,2
"33",638,24.8,1.8
"34",658,27.3,1.9
"35",658,27.3,1.9
"36",658,27.3,1.9
"37",658,27.3,1.9
"38",658,27.3,1.9
"39",658,27.3,1.9
"40",678,24.6,1.8
"41",708,24.2,1.3
"42",748,20.4,1.2
"43",788,19.8,1.2
"44",828,19,1.1
"45",868,16.3,1.1
"46",908,18.5,1.1
"47",948,17.6,1.1
"48",988,16.3,1.1
"49",1028,15.5,1.4
"50",6009,1.072,0.134
"51",6309,1.331,0.153
"52",6609,0.987,0.126
"53",6909,1.01,0.152
"54",11809,0.56,0.056
"55",12509,0.482,0.052
"56",18109,0.331,0.052
"57",23859,0.173,0.039
"58",27859,0.108,0.028
"59",35859,0.079,0.021
"60",81459,0.0361,0.0088
"61",99102,0.0273,0.0078
"62",165485,0.008,0.0016
"63",412515,0.0013,6e-04
