"","Order","Block","Height","Frequency","RestHR","HR"
"1",16,2,0,0,60,75
"2",18,2,0,1,63,84
"3",19,2,1,2,69,135
"4",21,2,1,0,69,108
"5",25,2,0,2,69,93
"6",17,4,1,1,96,141
"7",20,4,1,0,87,120
"8",22,4,0,0,90,99
"9",23,4,1,2,93,153
"10",27,4,0,2,87,129
"11",24,3,1,1,72,99
"12",26,3,0,1,69,93
"13",28,3,1,0,78,93
"14",29,3,0,2,72,99
"15",30,3,1,2,78,129
"16",1,5,0,0,87,93
"17",2,1,1,1,87,111
"18",3,6,1,2,81,120
"19",4,5,0,2,75,123
"20",5,1,0,1,81,96
"21",6,6,1,0,84,99
"22",7,1,1,0,84,99
"23",8,5,1,1,90,129
"24",9,6,0,1,75,90
"25",10,1,0,0,78,87
"26",11,6,0,0,84,84
"27",12,5,0,1,90,108
"28",13,1,0,2,78,96
"29",14,6,1,1,84,90
"30",15,5,1,2,90,147
