"","life","tv","doctor"
"Argentina",70.5,4,370
"Bangladesh",53.5,315,6166
"Brazil",65,4,684
"Canada",76.5,1.7,449
"China",70,8,643
"Colombia",71,5.6,1551
"Egypt",60.5,15,616
"Ethiopia",51.5,503,36660
"France",78,2.6,403
"Germany",76,2.6,346
"India",57.5,44,2471
"Indonesia",61,24,7427
"Iran",64.5,23,2992
"Italy",78.5,3.8,233
"Japan",79,1.8,609
"Kenya",61,96,7615
"KoreaNorth",70,90,370
"KoreaSouth",70,4.9,1066
"Mexico",72,6.6,600
"Morocco",64.5,21,4873
"Myanmar",54.5,592,3485
"Pakistan",56.5,73,2364
"Peru",64.5,14,1016
"Philippines",64.5,8.8,1062
"Poland",73,3.9,480
"Romania",72,6,559
"Russia",69,3.2,259
"SouthAfrica",64,11,1340
"Spain",78.5,2.6,275
"Sudan",53,23,12550
"Taiwan",75,3.2,965
"Thailand",68.5,11,4883
"Turkey",70,5,1189
"Ukraine",70.5,3,226
"UnitedKingdom",76,3,611
"UnitedStates",75.5,1.3,404
"Venezuela",74.5,5.6,576
"Vietnam",65,29,3096
